Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
PactService/forkingBench,2.7037289628096914,2.684653234122379,2.7189197474945104,2.1875739924201505e-2,1.2685638842589808e-2,3.0606920573649714e-2
PactService/block-new-valid[1],0.26722161758390334,0.2589982901574695,0.27724470006117674,1.1550832087502683e-2,8.036039328793591e-3,1.4284522138534605e-2
PactService/block-new-valid[10],0.26279605445442333,0.26033247265295356,0.263718227079662,1.82444542594667e-3,7.999271234649967e-4,2.409420290895459e-3
PactService/block-new-valid[50],0.3083879912549552,0.30407446482335215,0.3126745579007547,5.675939868849622e-3,2.9446179589176897e-3,8.035246292372908e-3
PactService/block-new-valid[100],0.3550876560584584,0.35175476905715186,0.35695168106030906,3.213530746828762e-3,1.387306273466859e-3,4.304781346378726e-3
PactService/block-new[1],0.13426612114907194,0.13270244831073796,0.13662020239897693,3.262919702832293e-3,1.9771374138413842e-3,4.337391731817386e-3
PactService/block-new[10],0.14014792918668328,0.13916835747243436,0.1412510273687076,1.5264287879743798e-3,1.11531295922271e-3,2.092877625065409e-3
PactService/block-new[50],0.15927965598578644,0.15741215503533437,0.16089694519455192,2.5262230504583907e-3,1.7629601156531447e-3,3.3311795234703947e-3
PactService/block-new[100],0.1836485881361619,0.18316207823259498,0.18466129402804654,8.768553778729934e-4,3.6348422488979924e-4,1.271358866570477e-3
